saturation_level,tolerance_type,precision,recall,F1
1,full_window,0.7509858726546317,0.6617169352497096,0.6491822617573356
1,half_window,0.6608145647062433,0.589629004548974,0.5634903570594598
1,quarter_window,0.4225355467727912,0.3857354578010066,0.3650467912117755
2,full_window,0.8028695316362328,0.636906879113434,0.6529920501521027
2,half_window,0.7259804238625301,0.5609701655052265,0.5712978973838234
2,quarter_window,0.44593224937557796,0.35770421989934187,0.3575130974096619
3,full_window,0.823929130941326,0.5982185201316299,0.6353006119771989
3,half_window,0.7532224977061105,0.5393649583817267,0.5679700600639273
3,quarter_window,0.45582656461086335,0.3480530753968254,0.35664291700473344
4,full_window,0.8366996857699198,0.5898860941734417,0.6359248896206094
4,half_window,0.7634827324664349,0.5313377129307008,0.567186826550864
4,quarter_window,0.4605018461299846,0.3433171820557491,0.3558621336346915
5,full_window,0.8452549770233819,0.5870224182152536,0.6371705013451043
5,half_window,0.7692478479685931,0.5309360481997677,0.5703855204679394
5,quarter_window,0.4667831046417847,0.3463257355787844,0.36129532114936574
6,full_window,0.8474449923382851,0.5977115998838559,0.6457462611211728
6,half_window,0.7658127145550926,0.5394163763066202,0.576799453006592
6,quarter_window,0.46943416085946577,0.3586545441347271,0.3715147447402634
